datetime,city,vehicle_count,weather,day_of_week,temperature_celsius,humidity,hour,is_peak_hour,road_segment
2024-01-02 07:00:00,Chennai,1708,Drizzle,Tuesday,28.9,84,7,0,T Nagar
2024-01-02 08:00:00,Chennai,3893,Drizzle,Tuesday,32.6,86,8,1,OMR
2024-01-02 09:00:00,Chennai,3025,Clear,Tuesday,34.4,75,9,1,Adyar
2024-01-02 10:00:00,Chennai,3639,Drizzle,Tuesday,30.5,78,10,1,Tambaram
2024-01-02 11:00:00,Chennai,921,Mist,Tuesday,34.3,68,11,0,Anna Nagar
2024-01-02 12:00:00,Chennai,1976,Cloudy,Tuesday,30.6,64,12,0,T Nagar
2024-01-02 13:00:00,Chennai,1579,Mist,Tuesday,32.7,77,13,0,OMR
2024-01-02 14:00:00,Chennai,1612,Clear,Tuesday,33.5,72,14,0,Adyar
2024-01-02 15:00:00,Chennai,1421,Drizzle,Tuesday,30.7,86,15,0,Tambaram
2024-01-02 16:00:00,Chennai,1501,Mist,Tuesday,34.2,63,16,0,Anna Nagar
2024-01-02 17:00:00,Chennai,4640,Haze,Tuesday,34.3,89,17,1,T Nagar
2024-01-02 18:00:00,Chennai,6709,Haze,Tuesday,36.3,64,18,1,OMR
2024-01-02 19:00:00,Chennai,4241,Mist,Tuesday,36.0,84,19,1,Adyar
2024-01-02 20:00:00,Chennai,3609,Drizzle,Tuesday,25.9,80,20,1,Tambaram
2024-01-02 21:00:00,Chennai,1280,Rain,Tuesday,37.7,85,21,0,Anna Nagar
2024-01-02 22:00:00,Chennai,1229,Mist,Tuesday,34.5,65,22,0,T Nagar
2024-01-02 23:00:00,Chennai,288,Cloudy,Tuesday,29.4,65,23,0,OMR
2024-01-03 00:00:00,Chennai,509,Rain,Wednesday,29.5,87,0,0,Adyar
2024-01-03 01:00:00,Chennai,336,Mist,Wednesday,25.4,64,1,0,Tambaram
2024-01-03 02:00:00,Chennai,465,Drizzle,Wednesday,28.1,88,2,0,Anna Nagar
2024-01-03 03:00:00,Chennai,592,Drizzle,Wednesday,34.8,88,3,0,T Nagar
2024-01-03 04:00:00,Chennai,473,Mist,Wednesday,27.8,66,4,0,OMR
2024-01-03 05:00:00,Chennai,557,Haze,Wednesday,32.4,73,5,0,Adyar
2024-01-03 06:00:00,Chennai,2001,Drizzle,Wednesday,26.1,61,6,0,Tambaram
2024-01-03 07:00:00,Chennai,2102,Rain,Wednesday,33.0,76,7,0,Anna Nagar
2024-01-03 08:00:00,Chennai,4198,Mist,Wednesday,34.7,74,8,1,T Nagar
2024-01-03 09:00:00,Chennai,5011,Cloudy,Wednesday,32.9,81,9,1,OMR
2024-01-03 10:00:00,Chennai,4978,Clear,Wednesday,30.9,87,10,1,Adyar
2024-01-03 11:00:00,Chennai,964,Clear,Wednesday,34.9,69,11,0,Tambaram
2024-01-03 12:00:00,Chennai,936,Clear,Wednesday,32.6,84,12,0,Anna Nagar
2024-01-03 13:00:00,Chennai,1911,Clear,Wednesday,36.3,68,13,0,T Nagar
2024-01-03 14:00:00,Chennai,1411,Rain,Wednesday,37.4,80,14,0,OMR
2024-01-03 15:00:00,Chennai,1532,Haze,Wednesday,37.3,81,15,0,Adyar
2024-01-03 16:00:00,Chennai,1270,Haze,Wednesday,27.8,75,16,0,Tambaram
2024-01-03 17:00:00,Chennai,3276,Rain,Wednesday,30.5,71,17,1,Anna Nagar
2024-01-03 18:00:00,Chennai,3256,Clear,Wednesday,28.6,77,18,1,T Nagar
2024-01-03 19:00:00,Chennai,4028,Haze,Wednesday,33.8,68,19,1,OMR
2024-01-03 20:00:00,Chennai,4006,Cloudy,Wednesday,34.2,73,20,1,Adyar
2024-01-03 21:00:00,Chennai,1586,Mist,Wednesday,27.7,64,21,0,Tambaram
2024-01-03 22:00:00,Chennai,2332,Haze,Wednesday,34.9,82,22,0,Anna Nagar
2024-01-03 23:00:00,Chennai,398,Rain,Wednesday,32.2,77,23,0,T Nagar
2024-01-04 00:00:00,Chennai,282,Rain,Thursday,33.8,61,0,0,OMR
2024-01-04 01:00:00,Chennai,750,Clear,Thursday,35.8,89,1,0,Adyar
2024-01-04 02:00:00,Chennai,734,Clear,Thursday,25.8,74,2,0,Tambaram
2024-01-04 03:00:00,Chennai,409,Haze,Thursday,29.4,88,3,0,Anna Nagar
2024-01-04 04:00:00,Chennai,216,Rain,Thursday,37.2,83,4,0,T Nagar
2024-01-04 05:00:00,Chennai,505,Cloudy,Thursday,36.0,65,5,0,OMR
2024-01-04 06:00:00,Chennai,1022,Drizzle,Thursday,36.2,83,6,0,Adyar
2024-01-04 07:00:00,Chennai,1654,Cloudy,Thursday,25.1,68,7,0,Tambaram
2024-01-04 08:00:00,Chennai,3851,Clear,Thursday,30.6,68,8,1,Anna Nagar
2024-01-04 09:00:00,Chennai,4615,Drizzle,Thursday,37.7,72,9,1,T Nagar
2024-01-04 10:00:00,Chennai,6024,Clear,Thursday,29.5,83,10,1,OMR
2024-01-04 11:00:00,Chennai,1406,Drizzle,Thursday,30.2,69,11,0,Adyar
2024-01-04 12:00:00,Chennai,1911,Drizzle,Thursday,29.2,88,12,0,Tambaram
2024-01-04 13:00:00,Chennai,1026,Cloudy,Thursday,35.0,64,13,0,Anna Nagar
2024-01-04 14:00:00,Chennai,1169,Clear,Thursday,33.7,67,14,0,T Nagar
2024-01-04 15:00:00,Chennai,1155,Mist,Thursday,32.2,85,15,0,OMR
2024-01-04 16:00:00,Chennai,1480,Haze,Thursday,28.5,63,16,0,Adyar
2024-01-04 17:00:00,Chennai,3736,Clear,Thursday,28.9,67,17,1,Tambaram
2024-01-04 18:00:00,Chennai,3197,Cloudy,Thursday,33.9,80,18,1,Anna Nagar
2024-01-04 19:00:00,Chennai,3246,Haze,Thursday,29.9,65,19,1,T Nagar
2024-01-04 20:00:00,Chennai,5057,Drizzle,Thursday,34.1,83,20,1,OMR
2024-01-04 21:00:00,Chennai,1915,Drizzle,Thursday,29.9,77,21,0,Adyar
2024-01-04 22:00:00,Chennai,2300,Clear,Thursday,26.7,83,22,0,Tambaram
2024-01-04 23:00:00,Chennai,750,Cloudy,Thursday,35.4,62,23,0,Anna Nagar
2024-01-05 00:00:00,Chennai,543,Clear,Friday,29.0,77,0,0,T Nagar
2024-01-05 01:00:00,Chennai,315,Cloudy,Friday,31.2,83,1,0,OMR
2024-01-05 02:00:00,Chennai,373,Cloudy,Friday,27.1,64,2,0,Adyar
2024-01-05 03:00:00,Chennai,483,Drizzle,Friday,29.2,64,3,0,Tambaram
2024-01-05 04:00:00,Chennai,716,Cloudy,Friday,32.1,73,4,0,Anna Nagar
2024-01-05 05:00:00,Chennai,619,Cloudy,Friday,34.4,71,5,0,T Nagar
2024-01-05 06:00:00,Chennai,1846,Haze,Friday,34.0,80,6,0,OMR
2024-01-05 07:00:00,Chennai,1798,Clear,Friday,25.4,81,7,0,Adyar
2024-01-05 08:00:00,Chennai,5152,Clear,Friday,25.1,69,8,1,Tambaram
2024-01-05 09:00:00,Chennai,3606,Mist,Friday,32.7,85,9,1,Anna Nagar
2024-01-05 10:00:00,Chennai,5214,Mist,Friday,37.4,77,10,1,T Nagar
2024-01-05 11:00:00,Chennai,1633,Cloudy,Friday,36.8,84,11,0,OMR
2024-01-05 12:00:00,Chennai,1252,Drizzle,Friday,30.2,61,12,0,Adyar
2024-01-05 13:00:00,Chennai,974,Mist,Friday,28.4,85,13,0,Tambaram
2024-01-05 14:00:00,Chennai,1255,Rain,Friday,30.8,71,14,0,Anna Nagar
2024-01-05 15:00:00,Chennai,1979,Clear,Friday,36.0,76,15,0,T Nagar
2024-01-05 16:00:00,Chennai,1606,Drizzle,Friday,26.2,61,16,0,OMR
2024-01-05 17:00:00,Chennai,6654,Haze,Friday,28.1,85,17,1,Adyar
2024-01-05 18:00:00,Chennai,3834,Haze,Friday,31.7,79,18,1,Tambaram
2024-01-05 19:00:00,Chennai,6781,Mist,Friday,25.4,77,19,1,Anna Nagar
2024-01-05 20:00:00,Chennai,3891,Drizzle,Friday,31.4,89,20,1,T Nagar
2024-01-05 21:00:00,Chennai,1192,Cloudy,Friday,37.9,72,21,0,OMR
2024-01-05 22:00:00,Chennai,1200,Cloudy,Friday,33.3,74,22,0,Adyar
2024-01-05 23:00:00,Chennai,585,Mist,Friday,25.8,83,23,0,Tambaram
2024-01-06 00:00:00,Chennai,238,Clear,Saturday,33.2,87,0,0,Anna Nagar
2024-01-06 01:00:00,Chennai,451,Rain,Saturday,35.7,82,1,0,T Nagar
2024-01-06 02:00:00,Chennai,295,Rain,Saturday,30.2,82,2,0,OMR
2024-01-06 03:00:00,Chennai,586,Haze,Saturday,28.3,71,3,0,Adyar
2024-01-06 04:00:00,Chennai,559,Cloudy,Saturday,37.9,67,4,0,Tambaram
2024-01-06 05:00:00,Chennai,448,Mist,Saturday,34.0,61,5,0,Anna Nagar
2024-01-06 06:00:00,Chennai,818,Haze,Saturday,26.7,71,6,0,T Nagar
2024-01-06 07:00:00,Chennai,1282,Clear,Saturday,35.3,75,7,0,OMR
2024-01-06 08:00:00,Chennai,5309,Clear,Saturday,29.6,82,8,1,Adyar
2024-01-06 09:00:00,Chennai,3342,Drizzle,Saturday,31.8,70,9,1,Tambaram
2024-01-06 10:00:00,Chennai,4184,Rain,Saturday,34.2,81,10,1,Anna Nagar
2024-01-06 11:00:00,Chennai,1490,Haze,Saturday,30.8,80,11,0,T Nagar
2024-01-06 12:00:00,Chennai,1365,Cloudy,Saturday,37.5,62,12,0,OMR
2024-01-06 13:00:00,Chennai,1026,Rain,Saturday,28.4,66,13,0,Adyar
2024-01-06 14:00:00,Chennai,1266,Drizzle,Saturday,37.6,60,14,0,Tambaram
2024-01-06 15:00:00,Chennai,1901,Cloudy,Saturday,28.6,86,15,0,Anna Nagar
2024-01-06 16:00:00,Chennai,1737,Drizzle,Saturday,37.6,65,16,0,T Nagar
2024-01-06 17:00:00,Chennai,3388,Drizzle,Saturday,31.7,75,17,1,OMR
2024-01-06 18:00:00,Chennai,5119,Clear,Saturday,34.2,66,18,1,Adyar
2024-01-06 19:00:00,Chennai,4240,Cloudy,Saturday,28.5,64,19,1,Tambaram
2024-01-06 20:00:00,Chennai,5441,Mist,Saturday,28.9,73,20,1,Anna Nagar
2024-01-06 21:00:00,Chennai,1532,Rain,Saturday,31.5,64,21,0,T Nagar
2024-01-06 22:00:00,Chennai,1112,Haze,Saturday,25.1,89,22,0,OMR
2024-01-06 23:00:00,Chennai,471,Haze,Saturday,34.0,80,23,0,Adyar
2024-01-07 00:00:00,Chennai,363,Cloudy,Sunday,30.9,89,0,0,Tambaram
2024-01-07 01:00:00,Chennai,335,Mist,Sunday,33.7,73,1,0,Anna Nagar
2024-01-07 02:00:00,Chennai,264,Clear,Sunday,25.4,87,2,0,T Nagar
2024-01-07 03:00:00,Chennai,436,Rain,Sunday,31.0,84,3,0,OMR
2024-01-07 04:00:00,Chennai,511,Haze,Sunday,33.0,64,4,0,Adyar
2024-01-07 05:00:00,Chennai,353,Clear,Sunday,31.5,87,5,0,Tambaram
2024-01-07 06:00:00,Chennai,2315,Mist,Sunday,35.8,89,6,0,Anna Nagar
2024-01-07 07:00:00,Chennai,1257,Clear,Sunday,29.1,67,7,0,T Nagar
2024-01-07 08:00:00,Chennai,6170,Haze,Sunday,32.5,77,8,1,OMR
2024-01-07 09:00:00,Chennai,5287,Haze,Sunday,26.9,70,9,1,Adyar
2024-01-07 10:00:00,Chennai,3893,Rain,Sunday,25.5,61,10,1,Tambaram
2024-01-07 11:00:00,Chennai,1062,Rain,Sunday,34.3,75,11,0,Anna Nagar
2024-01-07 12:00:00,Chennai,977,Haze,Sunday,32.8,79,12,0,T Nagar
2024-01-07 13:00:00,Chennai,1573,Cloudy,Sunday,33.6,68,13,0,OMR
2024-01-07 14:00:00,Chennai,1596,Clear,Sunday,29.0,72,14,0,Adyar
2024-01-07 15:00:00,Chennai,1242,Haze,Sunday,30.6,87,15,0,Tambaram
2024-01-07 16:00:00,Chennai,965,Mist,Sunday,32.7,70,16,0,Anna Nagar
2024-01-07 17:00:00,Chennai,3313,Clear,Sunday,35.7,72,17,1,T Nagar
2024-01-07 18:00:00,Chennai,5979,Mist,Sunday,30.8,88,18,1,OMR
2024-01-07 19:00:00,Chennai,2946,Cloudy,Sunday,32.3,88,19,1,Adyar
2024-01-07 20:00:00,Chennai,3503,Rain,Sunday,34.9,60,20,1,Tambaram
2024-01-07 21:00:00,Chennai,1543,Mist,Sunday,30.6,69,21,0,Anna Nagar
2024-01-07 22:00:00,Chennai,1244,Cloudy,Sunday,37.2,61,22,0,T Nagar
2024-01-07 23:00:00,Chennai,393,Rain,Sunday,34.9,65,23,0,OMR
2024-01-08 00:00:00,Chennai,649,Mist,Monday,26.2,78,0,0,Adyar
2024-01-08 01:00:00,Chennai,180,Drizzle,Monday,37.8,86,1,0,Tambaram
2024-01-08 02:00:00,Chennai,332,Cloudy,Monday,26.5,73,2,0,Anna Nagar
2024-01-08 03:00:00,Chennai,599,Drizzle,Monday,25.5,74,3,0,T Nagar
2024-01-08 04:00:00,Chennai,733,Haze,Monday,30.2,80,4,0,OMR
2024-01-08 05:00:00,Chennai,444,Mist,Monday,33.3,71,5,0,Adyar
2024-01-08 06:00:00,Chennai,1663,Drizzle,Monday,25.9,84,6,0,Tambaram
2024-01-08 07:00:00,Chennai,1793,Cloudy,Monday,34.4,76,7,0,Anna Nagar
2024-01-08 08:00:00,Chennai,5649,Clear,Monday,30.3,72,8,1,T Nagar
2024-01-08 09:00:00,Chennai,5264,Rain,Monday,34.6,63,9,1,OMR
2024-01-08 10:00:00,Chennai,3645,Cloudy,Monday,34.1,79,10,1,Adyar
2024-01-08 11:00:00,Chennai,822,Drizzle,Monday,25.0,88,11,0,Tambaram
2024-01-08 12:00:00,Chennai,991,Drizzle,Monday,37.9,70,12,0,Anna Nagar
2024-01-08 13:00:00,Chennai,1304,Haze,Monday,35.0,81,13,0,T Nagar
2024-01-08 14:00:00,Chennai,871,Drizzle,Monday,26.1,66,14,0,OMR
2024-01-08 15:00:00,Chennai,2215,Mist,Monday,28.4,61,15,0,Adyar
2024-01-08 16:00:00,Chennai,1584,Haze,Monday,36.1,64,16,0,Tambaram
2024-01-08 17:00:00,Chennai,4283,Rain,Monday,30.9,64,17,1,Anna Nagar
2024-01-08 18:00:00,Chennai,4721,Rain,Monday,31.9,70,18,1,T Nagar
2024-01-08 19:00:00,Chennai,5022,Drizzle,Monday,37.1,60,19,1,OMR
2024-01-08 20:00:00,Chennai,4614,Cloudy,Monday,36.3,80,20,1,Adyar
2024-01-08 21:00:00,Chennai,1658,Mist,Monday,34.9,70,21,0,Tambaram
2024-01-08 22:00:00,Chennai,2081,Clear,Monday,29.9,70,22,0,Anna Nagar
2024-01-08 23:00:00,Chennai,528,Mist,Monday,27.6,75,23,0,T Nagar
2024-01-09 00:00:00,Chennai,524,Clear,Tuesday,27.1,61,0,0,OMR
2024-01-09 01:00:00,Chennai,705,Haze,Tuesday,27.3,78,1,0,Adyar
2024-01-09 02:00:00,Chennai,270,Mist,Tuesday,37.7,78,2,0,Tambaram
2024-01-09 03:00:00,Chennai,273,Rain,Tuesday,35.9,72,3,0,Anna Nagar
2024-01-09 04:00:00,Chennai,606,Haze,Tuesday,34.4,60,4,0,T Nagar
2024-01-09 05:00:00,Chennai,416,Haze,Tuesday,28.2,69,5,0,OMR
2024-01-09 06:00:00,Chennai,2407,Haze,Tuesday,30.8,70,6,0,Adyar
2024-01-09 07:00:00,Chennai,2057,Drizzle,Tuesday,29.9,88,7,0,Tambaram
2024-01-09 08:00:00,Chennai,6716,Haze,Tuesday,33.8,67,8,1,Anna Nagar
2024-01-09 09:00:00,Chennai,6641,Clear,Tuesday,27.2,87,9,1,T Nagar
2024-01-09 10:00:00,Chennai,5991,Cloudy,Tuesday,30.9,74,10,1,OMR
2024-01-09 11:00:00,Chennai,791,Rain,Tuesday,30.5,85,11,0,Adyar
2024-01-09 12:00:00,Chennai,1173,Clear,Tuesday,26.3,64,12,0,Tambaram
2024-01-09 13:00:00,Chennai,1237,Drizzle,Tuesday,26.4,77,13,0,Anna Nagar
2024-01-09 14:00:00,Chennai,1571,Mist,Tuesday,32.8,63,14,0,T Nagar
2024-01-09 15:00:00,Chennai,1844,Drizzle,Tuesday,37.1,80,15,0,OMR
2024-01-09 16:00:00,Chennai,1385,Clear,Tuesday,25.5,79,16,0,Adyar
2024-01-09 17:00:00,Chennai,4579,Rain,Tuesday,32.7,76,17,1,Tambaram
2024-01-09 18:00:00,Chennai,6047,Cloudy,Tuesday,32.8,79,18,1,Anna Nagar
2024-01-09 19:00:00,Chennai,5274,Haze,Tuesday,33.7,73,19,1,T Nagar
2024-01-09 20:00:00,Chennai,3032,Cloudy,Tuesday,28.0,62,20,1,OMR
2024-01-09 21:00:00,Chennai,1160,Drizzle,Tuesday,29.8,81,21,0,Adyar
2024-01-09 22:00:00,Chennai,2136,Mist,Tuesday,26.9,65,22,0,Tambaram
2024-01-09 23:00:00,Chennai,676,Clear,Tuesday,26.1,78,23,0,Anna Nagar
2024-01-10 00:00:00,Chennai,207,Haze,Wednesday,27.0,70,0,0,T Nagar
2024-01-10 01:00:00,Chennai,421,Clear,Wednesday,33.6,85,1,0,OMR
2024-01-10 02:00:00,Chennai,405,Mist,Wednesday,25.3,61,2,0,Adyar
2024-01-10 03:00:00,Chennai,780,Haze,Wednesday,28.8,81,3,0,Tambaram
2024-01-10 04:00:00,Chennai,332,Cloudy,Wednesday,27.2,63,4,0,Anna Nagar
2024-01-10 05:00:00,Chennai,480,Drizzle,Wednesday,34.5,72,5,0,T Nagar
2024-01-10 06:00:00,Chennai,1537,Clear,Wednesday,31.7,86,6,0,OMR
2024-01-10 07:00:00,Chennai,1299,Haze,Wednesday,25.1,80,7,0,Adyar
2024-01-10 08:00:00,Chennai,3817,Drizzle,Wednesday,27.3,74,8,1,Tambaram
2024-01-10 09:00:00,Chennai,3060,Clear,Wednesday,29.7,88,9,1,Anna Nagar
2024-01-10 10:00:00,Chennai,6203,Cloudy,Wednesday,28.7,70,10,1,T Nagar
2024-01-10 11:00:00,Chennai,2052,Clear,Wednesday,37.5,64,11,0,OMR
2024-01-10 12:00:00,Chennai,1341,Cloudy,Wednesday,36.4,74,12,0,Adyar
2024-01-10 13:00:00,Chennai,914,Clear,Wednesday,27.4,75,13,0,Tambaram
2024-01-10 14:00:00,Chennai,813,Cloudy,Wednesday,29.1,73,14,0,Anna Nagar
2024-01-10 15:00:00,Chennai,1021,Rain,Wednesday,36.9,81,15,0,T Nagar
2024-01-10 16:00:00,Chennai,1640,Drizzle,Wednesday,32.5,83,16,0,OMR
2024-01-10 17:00:00,Chennai,6946,Clear,Wednesday,29.5,83,17,1,Adyar
2024-01-10 18:00:00,Chennai,5780,Cloudy,Wednesday,26.8,85,18,1,Tambaram
2024-01-10 19:00:00,Chennai,3420,Mist,Wednesday,29.2,74,19,1,Anna Nagar
2024-01-10 20:00:00,Chennai,4181,Mist,Wednesday,26.1,73,20,1,T Nagar
2024-01-10 21:00:00,Chennai,1597,Cloudy,Wednesday,34.9,69,21,0,OMR
2024-01-10 22:00:00,Chennai,2359,Haze,Wednesday,34.1,73,22,0,Adyar
2024-01-10 23:00:00,Chennai,331,Cloudy,Wednesday,36.4,87,23,0,Tambaram
2024-01-11 00:00:00,Chennai,586,Rain,Thursday,27.3,63,0,0,Anna Nagar
2024-01-11 01:00:00,Chennai,742,Clear,Thursday,26.1,71,1,0,T Nagar
2024-01-11 02:00:00,Chennai,347,Mist,Thursday,32.5,69,2,0,OMR
2024-01-11 03:00:00,Chennai,655,Haze,Thursday,29.1,79,3,0,Adyar
2024-01-11 04:00:00,Chennai,304,Haze,Thursday,26.4,78,4,0,Tambaram
2024-01-11 05:00:00,Chennai,418,Clear,Thursday,28.2,88,5,0,Anna Nagar
2024-01-11 06:00:00,Chennai,2479,Haze,Thursday,33.4,70,6,0,T Nagar
2024-01-11 07:00:00,Chennai,2235,Mist,Thursday,32.6,82,7,0,OMR
2024-01-11 08:00:00,Chennai,6661,Clear,Thursday,37.1,89,8,1,Adyar
2024-01-11 09:00:00,Chennai,3231,Cloudy,Thursday,31.7,85,9,1,Tambaram
2024-01-11 10:00:00,Chennai,6137,Haze,Thursday,28.2,81,10,1,Anna Nagar
2024-01-11 11:00:00,Chennai,1421,Drizzle,Thursday,29.4,81,11,0,T Nagar
2024-01-11 12:00:00,Chennai,871,Cloudy,Thursday,27.8,89,12,0,OMR
2024-01-11 13:00:00,Chennai,1389,Haze,Thursday,28.8,65,13,0,Adyar
2024-01-11 14:00:00,Chennai,1154,Mist,Thursday,33.6,82,14,0,Tambaram
2024-01-11 15:00:00,Chennai,1350,Drizzle,Thursday,26.5,83,15,0,Anna Nagar
2024-01-11 16:00:00,Chennai,1501,Rain,Thursday,29.1,74,16,0,T Nagar
2024-01-11 17:00:00,Chennai,6069,Haze,Thursday,28.6,87,17,1,OMR
2024-01-11 18:00:00,Chennai,3863,Cloudy,Thursday,37.6,73,18,1,Adyar
2024-01-11 19:00:00,Chennai,6605,Mist,Thursday,31.1,62,19,1,Tambaram
2024-01-11 20:00:00,Chennai,4686,Drizzle,Thursday,37.0,84,20,1,Anna Nagar
2024-01-11 21:00:00,Chennai,1104,Cloudy,Thursday,32.3,87,21,0,T Nagar
2024-01-11 22:00:00,Chennai,2266,Mist,Thursday,36.4,85,22,0,OMR
2024-01-11 23:00:00,Chennai,667,Cloudy,Thursday,35.0,60,23,0,Adyar
2024-01-12 00:00:00,Chennai,425,Cloudy,Friday,36.0,80,0,0,Tambaram
2024-01-12 01:00:00,Chennai,480,Drizzle,Friday,37.2,66,1,0,Anna Nagar
2024-01-12 02:00:00,Chennai,381,Cloudy,Friday,37.0,70,2,0,T Nagar
2024-01-12 03:00:00,Chennai,684,Haze,Friday,25.6,86,3,0,OMR
2024-01-12 04:00:00,Chennai,798,Mist,Friday,25.4,66,4,0,Adyar
2024-01-12 05:00:00,Chennai,274,Drizzle,Friday,36.3,83,5,0,Tambaram
2024-01-12 06:00:00,Chennai,1765,Cloudy,Friday,31.4,67,6,0,Anna Nagar
2024-01-12 07:00:00,Chennai,1730,Mist,Friday,34.8,67,7,0,T Nagar
2024-01-12 08:00:00,Chennai,3431,Drizzle,Friday,37.3,83,8,1,OMR
2024-01-12 09:00:00,Chennai,4988,Clear,Friday,31.4,65,9,1,Adyar
2024-01-12 10:00:00,Chennai,3073,Haze,Friday,26.7,74,10,1,Tambaram
2024-01-12 11:00:00,Chennai,1688,Drizzle,Friday,37.5,81,11,0,Anna Nagar
2024-01-12 12:00:00,Chennai,939,Drizzle,Friday,28.4,63,12,0,T Nagar
2024-01-12 13:00:00,Chennai,1094,Rain,Friday,29.1,78,13,0,OMR
2024-01-12 14:00:00,Chennai,1917,Mist,Friday,25.3,72,14,0,Adyar
2024-01-12 15:00:00,Chennai,1623,Cloudy,Friday,36.1,74,15,0,Tambaram
2024-01-12 16:00:00,Chennai,690,Rain,Friday,25.2,74,16,0,Anna Nagar
2024-01-12 17:00:00,Chennai,6193,Clear,Friday,35.7,66,17,1,T Nagar
2024-01-12 18:00:00,Chennai,4407,Haze,Friday,35.3,81,18,1,OMR
2024-01-12 19:00:00,Chennai,3561,Cloudy,Friday,28.0,80,19,1,Adyar
2024-01-12 20:00:00,Chennai,4249,Rain,Friday,35.8,61,20,1,Tambaram
2024-01-12 21:00:00,Chennai,1072,Mist,Friday,33.5,79,21,0,Anna Nagar
2024-01-12 22:00:00,Chennai,1208,Clear,Friday,36.8,60,22,0,T Nagar
2024-01-12 23:00:00,Chennai,374,Clear,Friday,36.6,63,23,0,OMR
2024-01-13 00:00:00,Chennai,505,Mist,Saturday,33.3,75,0,0,Adyar
2024-01-13 01:00:00,Chennai,280,Drizzle,Saturday,36.2,78,1,0,Tambaram
2024-01-13 02:00:00,Chennai,300,Clear,Saturday,28.3,64,2,0,Anna Nagar
2024-01-13 03:00:00,Chennai,239,Drizzle,Saturday,29.1,75,3,0,T Nagar
2024-01-13 04:00:00,Chennai,459,Clear,Saturday,32.2,68,4,0,OMR
2024-01-13 05:00:00,Chennai,197,Rain,Saturday,35.2,75,5,0,Adyar
2024-01-13 06:00:00,Chennai,2071,Mist,Saturday,31.3,86,6,0,Tambaram
2024-01-13 07:00:00,Chennai,1836,Mist,Saturday,33.3,81,7,0,Anna Nagar
2024-01-13 08:00:00,Chennai,4768,Haze,Saturday,29.3,66,8,1,T Nagar
2024-01-13 09:00:00,Chennai,3479,Cloudy,Saturday,37.5,63,9,1,OMR
2024-01-13 10:00:00,Chennai,3224,Clear,Saturday,37.8,78,10,1,Adyar
2024-01-13 11:00:00,Chennai,950,Drizzle,Saturday,30.4,64,11,0,Tambaram
2024-01-13 12:00:00,Chennai,1290,Cloudy,Saturday,28.3,67,12,0,Anna Nagar
